logt12,c:c:c:cC,c:c:c:c,c:cCCc,CC,c:c:c,N=Nc:c:c,Nc:c:c:c,N=Nc:cC,cCC,Nc,Nc:c,N=N,N=Nc,Nc:c:c,c:c,c:c:cCC,c:cCC,c:c:c:c:c,Nc:cCC,cN=Nc,cCCc,N=Nc:c,c:c:cC,c:cN=Nc,Nc:c:cC,c:cC,Nc:cC,[nH]:n:c:c,c:[nH]:n:c:c,Cc:c:cC,[nH]:n:c:c:c,[nH]:c,cC,n:c:cN,n:c:c,c:[nH]:n:cC,c:n:[nH]:c,n:[nH],[nH]:c:cN=N,[nH]:n:c,[nH]:n:cC,[nH]:n:c:cN,n:c:c:c:[nH],n:c:c:c,[nH]:cC,n:c:c:cC,cNCCC,NCC,c:c:cF,Nc:n:c,CCC,c:cNCC,Nc:cNC,c:n:c:c,n:cN,N=Nc:n:c,Nc:nC,NCCC,N=Nc:cF,c:cF,c:c:c:cF,CCNCC,n:c:c:c:c,NCCCC,CNc,c:c:nC,c:cNC,c:c:c:nC,n:c,c:nC,c:n:c:c:c,n:cN=Nc,Nc:n:c:c,c:c:cNC,N=Nc:cN,cF,Nc:cF,cNCC,c:c:n:c:c,CCCC,c:n:c,N=Nc:nC,Nc:cN,n:cN=N,CCCCC,Nc:c:cF,c:n:n:cC,n:n:c:cN,n:n,c:cCl,n:n:c:c:c,c:c:cCl,c:n:nC,c:c:n:nC,n:n:c:c,c:c:c:cCl,Nc:cCl,c:n:n:c:c,n:n:cC,Cn:n:cC,n:c:cN=N,Clc:c:cCl,n:nC,cCl,Nc:c:nC,n:n:c,n:c:c:c:n,n:cC,N=Nc:cCl,c:n:n:c,Cn:cC,Cn:c:cC,c:c:n:cC,Cc:n:cC,c:n:c:cC,Nc:c:n:c,c:n:cC,n:c:cC,n:c:c:cN,Cc:cC,OC,Cc:c:cF,COCc,O=Cc:c,O=CO,OCc,OCc:c,COC,OCc:c:c,O=Cc,c:cCOC,O=COCC,O=COC,cCOCC,O=Cc:c:c,O=C,Fc:c:cF,c:n:[nH]:c:c,n:[nH]:c:c,[nH]:c:c:cC,[nH]:c:c,n:[nH]:cC,n:[nH]:c:cN,[nH]:c:c:c:n,[nH]:n,c:cc:c,c:c:cc:c,c:n:n:cc,c:c:cc,N=Nc:cc,n:cc:c:c,Nc:cc,c:cc,n:cc:c,n:n:cc:c,c:c:c:cc,Cn:n:cc,CNCCC,Cn:cc,Nc:cc:c,n:n:cc,c:cc:nC,n:cc,CNC,cc:c:cc,n:c:c:cc,n:c:c:n,n:c:c:nC,n:c:n:c,n:c:n,n:c:n:c:c,n:c:c:n:c,n:c:nC,c:n:c:nC,c:n:c:n:c,NCCc,NCCc:c,Oc:c:c,c:c:cOC,NC,cOC,Oc:c:c:c,c:cOC,CNCC,Oc:c,Nc:c:cO,Cc:c:cCl,CCOCc,OCC,COCC,c:n:[nH]:cC,[nH]:c:c:c,n:[nH]:c:c:c,Nc:c:cCl,OCCC,O=CC,Sc:c:c:c,CCOCC,cSCC,SCCOC,OCCO,OCSc,O=CCOc,OCCCO,cOCC,OCCCC,COCCC,OCCCS,OCCOC,Sc:c,OCCSc,N=Nc:cO,SCOCC,O=CCO,c:cSCC,c:cSC,OCSc:c,Nc:cO,SCC,OCS,c:c:cSC,SC,Nc:cOC,COCSc,cSCCC,c:cOCC,SCOC,Sc:c:c,SCCC,SCCCC,OCCS,CSc,s:c:c:c,N=Nc:s:c,N=Nc:s,c:s:c:c,Nc:s:cO,s:c:c,s:c,c:c:s:c:c,Oc:s:c:c,c:s:c,s:c:c:c:c,Oc:s,Oc:s:c,s:cN=Nc,c:s:c:c:c,s:cOC,Nc:s:c,c:s:cOC,Nc:s,Nc:s:c:c,n:c:n:cN,n:c:c:s,n:c:s:c,s:c:n:c,n:c:s,n:c:s:c:c,s:c:c:n:c,c:n:c:s:c,n:c:c:s:c,s:c:n:c:c,NCc:c,NCc:c:c,NCc,Cc,CCc,n:[nH]:c,c:[nH]:n:c,[nH]:c:cN,N#C,N#Cc:c,N#Cc:c:c,N#Cc,cNC,O=CNc:c,NC=O,O=CNc,NCCCl,CCl,cNCCCl,O=CCCl,Nc:c:cN,CCCl,Brc:c,Brc:c:c:c,Brc:c:c,Brc,Oc:c:cO,Oc,N=[N+],[N+]=NCc:c,[N+]=[N-],cCN=[N+]=[N-],CN=[N+]=[N-],N=[N+]=[N-],[N+]=NC,[N+]=NCc,n:o:c,OCCNc,c:n:o:cC,o:c:c:c,n:o,N=Nc:c:o,o:n:cC,NCCO,NCCOC,o:c,o:c:c,n:o:c:c:c,o:cC,n:o:c:c,c:o:n:cC,n:o:c:cN,n:o:cC,o:n:c,o:c:c:cC,n:c:c:c:o,Nc:c:n:o,c:o:n:c:c,o:n:c:c,c:n:o:c,c:n:o:c:c,o:n:c:c:c,Nc:c:o,NCCNC,O=CNC,O=CNCC,NCCN,CNCCCl,nC,n:n:n:c,n:n:n,n:n:cN=N,n:n:n:cN,n:n:n:c:n,n:n:nC,n:n:cN,c:n:n:nC,n:n:c:n:n,n:n:c:n,Nc:n:nC,n:n:n:n:c,n:c:n:nC,n:n:n:n,n:n:n:c:c,n:n:c:c:n,c:n:n:n:c,c:c:cCF,FCF,cCF,c:cCF,CF,c:s:cC,c:c:s:cC,s:cC,Nc:s:cC,C=C,C=Cc,c:cC=C,c:c:cC=C,n:c:c:cI,N=Nc:cI,Ic:c,Ic:c:c,Nc:cI,Ic,Fc:cF,[N+]=NCC,[N+]=NCCc,CCN=[N+]=[N-],O=COc,Oc:c:cCl,O=COc:c,Nc:c:cBr,Oc:c:cF,n:n:c:cC,Nc:n:n:c,o:c:c:cc,o:cc:c,c:n:o:cc,o:cc,o:n:cc:c,o:cc:c:c,o:n:cc,n:o:cc:c,n:o:cc,c:o:n:cc,Nc:cCF,N=Nc:cBr,Nc:cBr,COc,CNCNC,NC=CNC,NC=CCN,NC=CC=O,N=NC=C,N=NCCN,O=CNC=O,NCNC,N=NCC,c:cN=NC,CNC=CC,C=CNC,C=CNCC,NCNC=O,cN=NCC,NCNCC,NCC=O,NCN,N=NCC=O,O=CC=C,C=CN=Nc,NCC=C,NC=CC,NC=C,N=NC=CN,C=CCNC,C=CC,cN=NC,NC=CN,NCNC=C,O=CNC=C,Ic:c:c:c,n:c:n:c:n,n:c:n:n:c,n:n:c:n:c,OCCc,OCCc:c,N#Cc:s:c,N#Cc:s,SSC,O=SS,O=S=O,NCOCC,SS,OCNc:c,O=SSCC,O=S,OCCSS,OCNc,CSSCC,O=SSC,O=SC,SSCC,NCO,CSSC,NCOC,cNCOC,Sc:c:cCl,cSC,SSCc,SCc:c:c,SCc:c,O=SSCc,SCc,SSCc:c,CSSCc,Nc:n:cC,COCCc
4.458849280081279,3,7,0,0,8,3,3,0,0,2,3,1,2,3,9,0,0,6,0,1,0,3,3,3,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,2,2,1,0,1,2,0,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,6,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.673481492146562,8,12,4,0,12,4,4,2,2,2,4,1,2,4,12,4,4,12,2,1,1,4,8,4,2,8,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.616907739105868,0,8,0,0,9,3,3,0,0,2,4,1,2,3,10,0,0,7,0,1,0,4,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.357859651003053,2,6,0,0,7,2,2,2,0,2,4,1,2,2,8,0,0,6,0,1,0,4,4,4,1,4,2,2,0,1,2,2,3,0,2,0,1,1,2,2,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,2,0,2,1,0,0,0,0,2,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.227949377892071,0,12,0,0,12,4,4,0,0,2,4,1,2,4,12,0,0,12,0,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,4,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.475380593143361,0,6,0,5,7,2,4,2,0,6,6,1,2,4,8,0,0,6,0,1,0,4,2,4,0,2,2,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,2,4,2,0,0,0,0,2,0,0,0,1,0,2,0,1,4,1,2,1,0,0,0,4,1,0,0,4,0,1,0,0,1,0,0,0,2,2,1,0,2,0,1,1,2,0,0,2,2,1,2,0,1,0,1,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.682370742516557,0,6,0,0,7,2,4,2,0,4,6,1,2,4,8,0,0,6,0,1,0,4,2,4,0,2,2,0,2,1,0,0,3,0,2,0,1,1,2,0,2,0,1,2,2,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.296665190261531,0,6,0,0,6,2,2,0,0,2,2,1,2,2,7,0,0,6,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.702338317881684,8,12,4,7,12,4,4,2,0,4,4,1,2,4,12,8,8,12,2,1,1,4,8,4,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.804275767129094,2,7,0,0,8,3,3,0,0,2,3,1,2,3,9,0,0,6,0,1,0,3,2,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,2,2,1,0,1,2,0,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.740901755877375,4,12,4,0,12,4,4,2,0,2,4,1,2,4,12,4,4,12,2,1,1,4,4,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
